ID,SKU,Type,Product Title,Description,Main Category,Sub-Category,Sub-Category,  Price  ,Unit,Images,Visibility in Catalog
H05,F2145,simple,Greek Yogurt 4 x 5 lb,Greek Yogurt 4 x 5 lb,Fromagerie,Cheeses,Fromagerie>Cheeses,$149.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2145.jpg,visible
H05,F2136,simple,Danish Blue Cheese 18 x 4.4 oz,Danish Blue Cheese 18 x 4.4 oz,Fromagerie,Cheeses,Fromagerie>Cheeses,$145.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2136.jpg,visible
H05,F2133,simple,Feta Cheese (Pails),Feta Cheese (Pails),Fromagerie,Cheeses,Fromagerie>Cheeses,$25.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2133.jpg,visible
H05,F2132,simple,Bufalaa Di Mozzarella (Fresh Mozzarella Log),Bufalaa Di Mozzarella (Fresh Mozzarella Log),Fromagerie,Cheeses,Fromagerie>Cheeses,$43.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2132.jpg,visible
H05,F2127,simple,Hot Pepper Jack Cheese,Hot Pepper Jack Cheese,Fromagerie,Cheeses,Fromagerie>Cheeses,$28.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2127.jpg,visible
H05,F2126,simple,Shredded Mozzeralla,Shredded Mozzeralla,Fromagerie,Cheeses,Fromagerie>Cheeses,$26.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2126.jpg,visible
H05,F2125,simple,Reggiano Parmesan Cheese,Reggiano Parmesan Cheese,Fromagerie,Cheeses,Fromagerie>Cheeses,$65.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2125.jpg,visible
F40,F212,simple,Pasteurized Froz. Lime Juice 4.5 gal,Pasteurized Froz. Lime Juice 4.5 gal,Freezer,Frozen Juices ,Freezer>Frozen Juices ,$199.00,Each,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F212.jpg,visible
H05,F2116,simple,Butter 36 x 1 lb. (Salted),Butter 36 x 1 lb. (Salted),Fromagerie,Cheeses,Fromagerie>Cheeses,$250.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2116.webp,visible
H05,F2114,simple,Sour Cream,Sour Cream,Fromagerie,Cheeses,Fromagerie>Cheeses,$20.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2114.jpg,visible
H05,F2112,simple,Gorgonzola Cheese,Gorgonzola Cheese,Fromagerie,Cheeses,Fromagerie>Cheeses,$32.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2112.jpg,visible
H05,F2109,simple,Stilton Cheese,Stilton Cheese,Fromagerie,Cheeses,Fromagerie>Cheeses,$70.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2109.jpg,visible
H05,F2108,simple,Feta Cheese 12 x 8 oz,Feta Cheese 12 x 8 oz,Fromagerie,Cheeses,Fromagerie>Cheeses,$105.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2108.jpg,visible
H05,F2105,simple,Goat Cheese w/ Cranberries & Orange 6 x 4 oz,Goat Cheese w/ Cranberries & Orange 6 x 4 oz,Fromagerie,Cheeses,Fromagerie>Cheeses,$70.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2105.jpg,visible
H05,F2103,simple,Herbal Goat Cheese 12 x 4 oz,Herbal Goat Cheese 12 x 4 oz,Fromagerie,Cheeses,Fromagerie>Cheeses,$82.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2103.jpg,visible
F50,F210,simple,Cheese Tortellini 10 lbs,Cheese Tortellini 10 lbs,Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$140.00,Box.,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F210.jpg,visible
F50,F2098,simple,"6""Blue Corn Tortillas 6 x 160 ct","6""Blue Corn Tortillas 6 x 160 ct",Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$138.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2098.jpg,visible
F50,F2097,simple,"6"" Red Corn Tortillas 6 x 160 ct","6"" Red Corn Tortillas 6 x 160 ct",Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$120.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2097.jpg,visible
F50,F2096,simple,"8"" Flour Tortillas 16 X 12 ct","8"" Flour Tortillas 16 X 12 ct",Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$120.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2096.jpg,visible
F50,F2095,simple, White Corn Tortilla 6 x 90 ct, White Corn Tortilla 6 x 90 ct,Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$115.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2095.jpg,visible
F50,F2094,simple,Greenland Vegetable Spring Roll 15 x 20 ct,Greenland Vegetable Spring Roll 15 x 20 ct,Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$210.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2094.jpg,visible
H05,F2093,simple,Yellow (Sharp) Feather Shredded Cheddar 4 x 5 lb,Yellow (Sharp) Feather Shredded Cheddar 4 x 5 lb,Fromagerie,Cheeses,Fromagerie>Cheeses,$199.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2093.jpg,visible
H05,F2091,simple,White Sharp Cheddar Cheese,White Sharp Cheddar Cheese,Fromagerie,Cheeses,Fromagerie>Cheeses,$30.00,Kgs,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2091.jpg,visible
F50,F2090,simple,"4.75"" White Corn Tortilla 6 x 60 ct","4.75"" White Corn Tortilla 6 x 60 ct",Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$89.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2090.jpg,visible
F50,F2086,simple,Yellow Corn Tortilla 30 lb,Yellow Corn Tortilla 30 lb,Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$105.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2086.jpg,visible
F50,F2080,simple,"6"" Tricolor 1/4  Corn Tortillas  30 lb","6"" Tricolor 1/4  Corn Tortillas  30 lb",Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$135.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2080.jpg,visible
F50,F2079,simple,12' White Flour Tort 6 X 12 CT,12' White Flour Tort 6 X 12 CT,Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$95.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2079.jpg,visible
F50,F2076,simple,"12"" Flour Tort 8 x 12 ct (96)","12"" Flour Tort 8 x 12 ct (96)",Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$120.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2076.jpg,visible
F50,F2073,simple,"12"" Honey\Wheat Tort 6 X 12 CT","12"" Honey\Wheat Tort 6 X 12 CT",Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$82.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2073.png,visible
F50,F2071,simple,5 Color Tortilla Chips 30 lbs,5 Color Tortilla Chips 30 lbs,Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$135.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2071.jpg,visible
F50,F2065,simple,"12"" Whole Wheat Tortilla 6 X 12 ct","12"" Whole Wheat Tortilla 6 X 12 ct",Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$110.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2065.jpg,visible
F50,F2064,simple,Breaded  Jalapeno  4 x 3 lbs,Breaded  Jalapeno  4 x 3 lbs,Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$215.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2064.jpg,visible
F50,F2062,simple,"12"" Garlic Tortilla 6 x 12ct","12"" Garlic Tortilla 6 x 12ct",Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$110.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2062.jpg,visible
F50,F2061,simple,"12"" Spinach Tortilla 6 x 12 ct","12"" Spinach Tortilla 6 x 12 ct",Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$110.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2061.webp,visible
F50,F2060,simple,"12"" Sund\Tom\Basil Tortilla 6 X 12 CT","12"" Sund\Tom\Basil Tortilla 6 X 12 CT",Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$105.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2060.jpg,visible
F50,F2058,simple,EggRoll Skin Wrap 6 x 5 lb,EggRoll Skin Wrap 6 x 5 lb,Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$159.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2058.jpg,visible
F50,F2056,simple,"6"" Yellow Corn Tortillas 6 X 120CT","6"" Yellow Corn Tortillas 6 X 120CT",Freezer,Frozen Pasta/Pastry,Freezer>Frozen Pasta/Pastry,$120.00,Case,https://hotelfoodsdev.wpengine.com/wp-content/uploads/2023/05/F2056.jpg,visible
